Experience,Team Size,Requirements Changes,Overtime,Bugs,Code Reviews (%),Customer Meetings,Schedule Delay,Project Success
3.5,7,4,15,15,46.6,5,29,0
2.6,9,8,14,26,51.6,6,39,0
3.8,4,4,8,5,62.9,3,15,1
2.7,4,3,11,10,45.9,4,24,1
5,10,9,16,41,,,57,0
5.4,5,0,8,0,68.4,2,5,1
4.8,3,0,4,1,59.5,0,7,1
5.5,6,0,5,0,67.6,1,11,1
3.9,3,1,1,0,63.5,2,0,1
8.1,8,7,10,12,82.4,4,39,0
4.1,9,6,18,45,46.7,5,46,0
5.7,5,4,13,14,66.7,3,34,0
5.5,6,4,7,17,61.1,3,27,0
4.4,5,6,7,4,66.2,4,19,1
5.4,3,,10,0,61,3,16,1
6.2,9,4,3,12,60.8,4,18,0
3.9,5,3,10,,44.7,5,24,1
8.1,8,4,10,10,75.5,4,28,1
3.6,6,6,8,17,67.7,4,25,0
2.8,,6,16,22,48.8,6,40,0
4,5,3,5,10,51.2,3,25,0
5.4,8,3,13,8,57.5,4,22,1
4.5,11,5,14,22,60.8,5,42,0
3.8,3,6,6,3,59.3,2,16,1
3.6,9,8,16,27,55.9,5,46,0
9.9,8,4,7,18,74.1,4,28,0
7.1,3,1,2,0,74.7,1,0,1
3,6,6,14,25,52.7,7,,0
2.8,8,6,13,24,50.7,3,41,0
5.6,3,1,0,0,78.1,2,9,1
2,11,6,11,22,,7,37,0
2.3,10,9,18,44,40.9,6,52,0
8.2,3,0,1,0,83.7,1,0,1
4.2,4,3,,3,64.7,2,6,1
6.9,9,6,14,17,71.9,5,38,0
4.9,6,2,1,,63.6,2,10,1
7.1,3,2,0,0,66.9,1,5,1
4.8,9,3,13,21,54.3,6,37,0
4,4,2,6,12,45.5,1,,1
2.9,6,4,4,6,49,3,16,1
6.4,9,,15,23,63.3,28,45,0
7.2,8,6,12,17,73.3,4,39,0
3.4,11,6,13,22,54.1,5,41,0
8.4,8,7,16,29,64.2,3,50,0
5.1,10,7,17,36,49.9,6,49,0
5.4,4,3,,0,58,1,13,1
5.7,6,3,1,5,62.9,4,11,1
7.7,10,11,25,45,62,,73,0
,7,2,0,1,73,3,4,1
5.2,6,0,4,0,67.9,2,4,1
3.9,3,5,10,13,62.7,3,20,0
1.3,9,9,17,38,47.7,,58,0
3,4,0,5,0,41.5,3,7,1
4.9,6,4,7,18,65,3,25,0
7.3,8,,8,12,79.3,4,22,1
,10,8,18,27,65.6,7,44,0
3.7,3,3,7,5,56.1,1,22,1
4.1,6,5,12,6,67.5,4,23,1
5.1,,5,8,6,67.8,3,28,0
4.8,5,5,9,18,65.9,3,29,0
10.1,7,4,11,19,67.6,5,,1
4.5,5,3,6,5,61.4,3,16,1
8.4,7,3,4,4,85.1,2,,1
9,6,8,15,18,83.1,,42,0
4.6,5,3,4,3,66.9,3,4,1
7.7,,2,7,2,75.1,2,,1
3,7,5,13,17,61.9,4,32,0
4.5,4,3,8,2,59.7,4,15,1
8.2,9,7,16,19,74.8,6,46,0
4.5,6,2,3,8,57.8,3,10,1
8.3,8,5,13,13,82.1,5,27,0
5.7,6,4,12,16,71.6,4,32,0
3.9,6,8,11,23,49.5,4,42,0
2.8,3,0,3,0,57.2,3,,1
2.2,5,1,2,9,57.8,3,,1
4.3,8,3,11,14,50,5,29,0
10.1,7,1,7,0,78.3,3,9,1
3.4,11,10,,47,59.7,4,76,0
6.3,6,4,8,11,57,2,20,1
3.9,4,6,11,13,62.1,,29,1
,12,7,18,32,,6,51,0
3.9,5,3,9,0,61.7,2,9,1
8.6,6,6,11,6,78.7,2,23,1
5.8,7,6,12,11,65.6,5,26,0
8.5,7,9,12,28,73.2,7,54,0
6.2,3,4,,11,66.6,2,23,1
0.9,4,0,7,14,39.5,3,17,1
6.9,7,9,12,26,68.3,,37,0
6.8,3,1,0,0,75.1,2,8,1
3.6,9,10,18,28,56.2,6,55,0
8.5,7,6,9,14,76.1,4,38,0
3.9,3,0,3,0,66.5,2,0,1
3.8,6,4,13,14,58.3,4,32,0
5.4,8,6,13,31,54.1,7,40,0
6.8,8,5,13,12,68,4,29,0
1.6,6,,10,19,,1,22,0
2,9,8,16,26,42.1,5,44,0
5.1,9,,19,19,63.7,4,45,0
4.1,8,6,12,28,55.2,5,38,0
3.8,4,2,5,1,59.1,3,11,1
1.7,10,6,15,30,51.2,5,46,0
7.1,3,0,2,6,60.4,1,1,1
6.2,5,4,3,10,75.1,2,7,1
0.8,6,5,12,27,40.7,4,40,0
4.3,3,6,7,7,57.6,2,,1
0.9,,3,6,13,39.3,2,18,1
4.3,6,5,11,22,48.2,4,34,0
5.3,8,7,14,23,64.7,8,42,0
5.3,9,6,15,19,65.3,5,47,0
,3,3,6,1,62.8,1,16,1
6.1,10,3,15,20,,4,,0
3.2,7,7,14,24,50.2,5,42,0
,3,0,8,3,47.2,1,13,1
2.8,9,12,20,41,58.8,6,60,0
3.8,9,9,13,,49,5,51,0
8,,1,5,1,66.4,3,12,1
4.1,10,10,25,45,55.7,,68,0
7.7,3,1,4,0,83.3,1,4,1
6.1,3,2,7,10,63.7,2,15,1
7.1,5,3,4,7,79.2,1,,1
3.5,8,4,8,12,49.6,5,,0
6.7,9,5,6,18,60.6,2,21,0
2.4,6,9,15,25,,5,40,0
3.8,7,,4,,56.4,1,10,1
6.5,6,2,2,2,66.9,3,12,1
2.7,,2,3,3,52.3,3,14,1
4.1,4,3,8,3,52.1,1,14,1
3.3,9,11,19,40,50.5,6,59,0
4.5,11,5,12,16,,4,41,0
7.2,6,4,10,18,58.6,3,24,0
5.2,4,2,7,5,65.9,3,12,1
2.2,9,6,15,26,49.4,6,40,0
3.3,3,2,2,3,53.1,3,0,1
5,11,7,11,,63.5,6,34,0
1.7,10,13,22,49,46.8,8,71,0
4.8,4,1,1,0,66.2,1,14,1
2,11,7,15,34,47.6,5,46,0
6.4,6,9,,19,71.5,5,34,0
5.1,8,7,11,24,59.2,5,37,0
7.3,6,10,19,24,,5,49,0
3,3,0,7,1,54.9,2,3,1
7.1,4,2,8,,77.6,0,11,1
4.2,6,7,18,31,55.5,2,39,0
4.7,9,5,15,23,54,6,,0
2.4,6,0,5,2,53.9,2,9,1
4.5,7,6,11,6,60.1,5,28,0
6,8,4,12,19,58.8,3,37,0
1.4,3,1,2,4,54.7,2,1,1
4.9,8,7,,26,48.2,7,47,0
7.9,7,6,12,,83,5,29,0
6,4,2,4,0,61.4,2,3,1
2.2,9,5,13,23,45.2,4,38,0
0.9,9,7,20,29,37,5,50,0
5,5,7,14,15,58.8,,30,0
3.7,7,,16,35,50.1,6,52,0
5.1,6,3,11,16,63.5,5,27,0
3.8,8,5,14,20,61.5,3,33,0
5.8,9,3,10,10,59.1,4,27,0
5.4,12,10,,25,56.1,,47,0
5.7,4,5,10,11,66.1,3,23,0
2.9,7,5,7,18,,5,31,0
1.9,4,1,4,0,52.1,3,,1
7.1,5,5,5,6,80.9,3,13,1
3.5,3,2,6,11,59.5,3,13,1
4.3,9,,17,38,46.9,5,,0
5.9,10,8,15,20,,,46,0
1.9,4,4,12,9,43.8,3,28,0
8.7,10,7,,25,,6,43,0
4.6,9,6,15,35,55,5,47,0
8,3,5,3,2,67.2,4,18,1
6.9,3,2,1,0,71,1,9,1
7.9,8,6,12,20,68.4,4,31,0
8.6,9,11,21,28,,7,59,0
3.7,10,,9,24,46.1,5,33,0
6.9,,5,9,,70.5,5,29,0
9.2,3,2,4,0,,2,4,1
,8,7,13,28,68.6,6,43,0
3,5,3,,7,59.2,3,19,0
6.3,5,5,10,0,70.1,3,22,1
10.3,3,3,4,0,82,3,0,1
3.5,12,9,17,44,49.7,5,53,0
4.2,5,6,11,16,60.7,4,35,0
5.9,5,6,13,20,68.9,1,34,0
3.9,9,5,12,22,50.8,4,29,0
4.9,4,4,8,10,64.8,2,14,1
5.1,5,7,13,18,,4,40,0
2.3,6,8,14,24,60,4,40,0
6,10,8,18,,,,49,0
4.5,7,7,14,28,54.4,5,36,0
5.7,3,0,0,3,61.4,1,0,1
7.4,6,3,3,0,,2,8,1
5.2,5,5,9,13,58.1,4,24,1
6.7,3,4,5,2,65.5,2,13,1
5.4,10,9,,39,60.6,4,58,0
6.1,3,6,11,8,72.8,4,29,1
3,9,7,17,29,59.4,6,50,0
1.7,3,0,2,0,45.1,0,11,1
11.2,7,4,13,12,75.3,4,33,0
,4,2,4,0,63.7,1,7,1
7.1,10,6,,28,65.2,4,42,0
7.4,10,5,8,20,,6,31,0
3.8,3,4,,8,57.9,2,14,1
,,7,14,24,72.5,5,40,0
4.7,9,5,11,20,45.7,5,28,0
3.8,8,6,14,25,68,5,37,0
5.5,,5,11,22,56.8,6,30,0
9.9,9,9,,27,80.9,5,52,0
8.9,9,6,12,13,75.3,5,39,0
3.8,11,8,15,30,54.8,7,48,0
6,9,11,19,38,46.4,5,56,0
6.6,6,3,7,10,69.8,2,16,1
4,7,5,9,12,51.5,3,19,1
5.7,6,4,10,13,70.1,2,21,1
,4,6,9,15,71.2,3,20,1
8.3,,6,12,5,72.2,5,22,1
1.3,3,2,0,4,,2,5,1
7.2,,,14,26,65.3,3,38,0
4.9,5,2,4,,55.2,1,12,1
7,6,5,6,12,76.3,4,14,1
3.4,5,7,7,14,60.7,2,20,0
3.7,7,4,10,18,51.6,4,33,0
3.9,4,4,9,11,48.9,5,22,1
4.5,5,1,5,2,58.6,3,11,1
6.3,8,3,14,3,,4,28,1
1.4,10,9,,36,45.7,7,50,0
3.2,10,6,17,30,,3,43,0
1.6,3,3,6,5,52.3,2,,0
7.9,3,3,8,0,85.5,,14,1
4.3,6,4,5,6,,3,13,1
6.3,4,,5,0,68.8,2,4,1
4.6,5,,,0,59.8,3,5,1
4.5,4,4,7,,63.1,4,16,1
9.6,3,3,7,0,81.8,2,,1
2.4,4,3,,12,44.2,4,16,1
5.4,6,3,5,10,64.3,4,8,1
5.8,7,2,3,3,66.3,4,6,1
5.3,6,3,4,9,73.9,3,16,1
0.1,4,1,10,8,57.3,2,19,1
3.3,8,9,,31,56.6,6,55,0
,4,4,10,7,60.3,4,25,1
6.2,8,7,15,,66.5,4,42,0
,5,5,8,5,,3,16,1
5.5,3,3,3,0,63.7,2,6,1
1.6,3,0,6,0,44.8,0,4,1
4.9,4,0,3,0,62.9,4,0,1
6.8,6,7,11,32,56.1,5,35,0
6.5,9,6,8,,66,5,33,0
6.3,9,10,14,33,55.2,,43,0
4,9,,22,38,56.3,6,65,0
5.5,4,2,8,0,67.2,2,,1
3.9,7,8,18,30,49.6,5,49,0
4,9,6,11,19,52.5,4,37,0
5.4,7,3,7,5,,4,15,1
5.4,10,7,18,25,65.8,,44,0
6,3,6,9,8,71,3,27,0
5.2,5,2,2,5,65,2,6,1
4.9,8,7,11,25,,5,39,0
4.9,6,5,6,14,60.6,3,15,0
2.6,7,6,4,18,45.4,4,25,0
3.5,10,6,,29,,5,36,0
4.3,7,5,11,22,54.1,3,37,0
3.3,3,5,8,9,48.8,3,16,1
3.1,,1,4,5,54.8,3,6,1
1.8,6,5,17,21,59.5,6,30,0
3.2,4,2,6,7,48,2,9,1
4,3,4,4,,53.7,3,15,1
4.2,4,5,13,6,63.9,3,,1
5.4,6,6,,18,58.1,3,30,0
2.4,4,0,2,1,48.3,2,1,1
5.1,6,5,10,20,54.2,3,31,0
4.3,9,9,22,37,53.7,,60,0
6.7,4,1,8,0,64.9,1,,1
4.7,7,5,10,6,61,3,19,1
,8,8,19,31,65,5,55,0
2.6,6,0,6,3,51.9,3,15,1
7,8,4,9,9,67.9,4,26,1
6.3,4,1,1,4,66.2,2,,1
2.3,9,7,13,32,42.9,6,47,0
7.5,8,7,10,15,65.8,4,38,0
4.9,6,3,5,15,64,3,19,1
6.4,,4,11,16,70.5,4,34,0
8,,5,6,0,,3,13,1
4.1,8,9,13,35,55.3,3,47,0
8.8,8,10,17,30,72,4,48,0
6.5,7,5,11,19,68.5,4,33,0
5.4,9,8,15,,59.8,5,48,0
3.4,7,10,18,30,41.9,,49,0
2.3,10,7,18,37,37.4,6,50,0
10.1,9,,15,19,84,5,38,0
8.5,,3,5,0,68.6,3,7,1
,7,7,20,40,52.1,4,53,0
6.4,4,2,4,4,73.1,2,4,1
5.8,10,9,16,22,53.8,4,39,0
5,6,7,16,15,66.9,,34,0
3.2,9,8,,33,55.2,7,51,0
4.2,3,1,3,1,57.5,2,6,1
6.2,5,0,0,0,66,2,11,1
5.2,7,4,11,20,62.8,4,29,0
,3,5,9,22,52.8,4,22,0
5.7,7,4,13,17,,6,38,0
7.5,5,2,6,6,79.1,0,,1
5.4,7,5,11,22,71.2,5,37,0
2.5,4,1,,0,45.8,1,6,1
5.2,3,4,,0,54.7,2,7,1
3.7,7,8,8,23,57.4,4,34,0
9.5,11,3,47,6,83.2,,17,1
4.5,7,4,6,18,51.6,3,25,0
6,7,0,7,8,66.6,4,21,1
8.8,10,7,12,17,,5,35,0
3.8,10,8,11,30,71.3,6,49,0
5.9,,6,,22,60.3,,,0
6.3,5,2,7,0,71.4,2,9,1
4.9,,4,12,45,57.3,,23,0
6.2,7,3,9,14,59.7,4,17,0
3.2,8,4,9,14,49.2,4,21,0
,3,1,5,5,50.8,1,12,1
6.4,9,10,19,31,52.1,5,55,0
